Intel® Product Specification Comparison
12/23/2024 01:49:15 PM
 ,Intel® Core™ i5-10210U Processor ,Intel® Core™ i7-10710U Processor ,Intel® Core™ i7-10510U Processor ,Intel® Core™ i3-10110U Processor ,Intel® Core™ i7-10510Y Processor ,Intel® Core™ i5-10310Y Processor ,Intel® Core™ i5-10210Y Processor ,Intel® Core™ i3-10110Y Processor ,Intel® Core™ i3-1005G1 Processor ,Intel® Core™ i5-1035G4 Processor ,Intel® Core™ i5-1035G7 Processor ,Intel® Core™ i7-1065G7 Processor ,Intel® Core™ i5-1035G1 Processor ,Intel® Core™ i5-10400 Processor ,Intel® Core™ i5-10600 Processor ,Intel® Core™ i5-10500T Processor ,Intel® Core™ i5-10400T Processor ,Intel® Core™ i5-10500 Processor ,Intel® Core™ i5-10400F Processor ,Intel® Core™ i5-10600T Processor ,Intel® Core™ i3-10320 Processor ,Intel® Core™ i3-10300 Processor ,Intel® Core™ i3-10300T Processor ,Intel® Core™ i3-10100 Processor ,Intel® Core™ i3-10100T Processor ,Intel® Core™ i5-10600K Processor ,Intel® Core™ i7-10700T Processor ,Intel® Core™ i5-10600KF Processor ,Intel® Core™ i7-10700 Processor ,Intel® Core™ i7-10700F Processor ,Intel® Core™ i9-10900T Processor ,Intel® Core™ i7-10700KF Processor ,Intel® Core™ i9-10900 Processor ,Intel® Core™ i9-10900F Processor ,Intel® Core™ i9-10900KF Processor ,Intel® Core™ i9-10900K Processor ,Intel® Core™ i7-10700K Processor ,Intel® Core™ i7-10750H Processor ,Intel® Core™ i9-10980HK Processor ,Intel® Core™ i5-10300H Processor ,Intel® Core™ i7-10810U Processor ,Intel® Core™ i3-10325 Processor ,Intel® Core™ i3-10105T Processor ,Intel® Core™ i5-10505 Processor ,Intel® Core™ i5-10310U Processor ,Intel® Core™ i3-10305 Processor ,Intel® Core™ i3-10105 Processor ,Intel® Core™ i5-10400H Processor ,Intel® Core™ i7-10610U Processor ,Intel® Core™ i7-10850H Processor ,Intel® Core™ i3-10305T Processor ,Intel® Core™ i5-10500H Processor ,Intel® Core™ i7-10875H Processor ,Intel® Core™ i3-10100F Processor ,Intel® Core™ i3-10105F Processor ,Intel® Core™ i9-10885H Processor ,Intel® Core™ i5-10500TE Processor ,Intel® Core™ i5-10500E Processor ,Intel® Core™ i3-10100E Processor ,Intel® Core™ i3-10100TE Processor ,Intel® Core™ i9-10900TE Processor ,Intel® Core™ i9-10900E Processor ,Intel® Core™ i7-10700TE Processor ,Intel® Core™ i7-10700E Processor ,Intel® Core™ i9-10850K Processor ,Intel® Core™ i5-10200H Processor ,Intel® Core™ i7-10870H Processor ,Intel® Core™ i3-10100Y Processor 
Essentials
Product Collection,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i3 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i5 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i3 Processors
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Desktop,Desktop,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Mobile,Mobile,Mobile
Processor Number,i5-10210U,i7-10710U,i7-10510U,i3-10110U,i7-10510Y,i5-10310Y,i5-10210Y,i3-10110Y,i3-1005G1,i5-1035G4,i5-1035G7,i7-1065G7,i5-1035G1,i5-10400,i5-10600,i5-10500T,i5-10400T,i5-10500,i5-10400F,i5-10600T,i3-10320,i3-10300,i3-10300T,i3-10100,i3-10100T,i5-10600K,i7-10700T,i5-10600KF,i7-10700,i7-10700F,i9-10900T,i7-10700KF,i9-10900,i9-10900F,i9-10900KF,i9-10900K,i7-10700K,i7-10750H,i9-10980HK,i5-10300H,i7-10810U,i3-10325,i3-10105T,i5-10505,i5-10310U,i3-10305,i3-10105,i5-10400H,i7-10610U,i7-10850H,i3-10305T,i5-10500H,i7-10875H,i3-10100F,i3-10105F,i9-10885H,i5-10500TE,i5-10500E,i3-10100E,i3-10100TE,i9-10900TE,i9-10900E,i7-10700TE,i7-10700E,i9-10850K,i5-10200H,i7-10870H,i3-10100Y
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm,10 nm,10 nm,10 nm,10 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,4,6,4,2,4,4,4,2,2,4,4,4,4,6,6,6,6,6,6,6,4,4,4,4,4,6,8,6,8,8,10,8,10,10,10,10,8,6,8,4,6,4,4,6,4,4,4,4,4,6,4,6,8,4,4,8,6,6,4,4,10,10,8,8,10,4,8,2
Total Threads,8,12,8,4,8,8,8,4,4,8,8,8,8,12,12,12,12,12,12,12,8,8,8,8,8,12,16,12,16,16,20,16,20,20,20,20,16,12,16,8,12,8,8,12,8,8,8,8,8,12,8,12,16,8,8,16,12,12,8,8,20,20,16,16,20,8,16,4
