Intel® Product Specification Comparison
12/23/2024 01:48:07 PM
 ,Intel® Core™ i7-11370H Processor ,Intel® Core™ i5-11300H Processor ,Intel® Core™ i7-11375H Processor ,Intel® Core™ i3-1115GRE Processor ,Intel® Core™ i7-1185G7E Processor ,Intel® Core™ i5-1145GRE Processor ,Intel® Core™ i3-1115G4E Processor ,Intel® Core™ i5-1145G7E Processor ,Intel® Core™ i7-1185GRE Processor ,Intel® Core™ i3-1110G4 Processor ,Intel® Core™ i3-1115G4 Processor ,Intel® Core™ i3-1125G4 Processor ,Intel® Core™ i5-1130G7 Processor ,Intel® Core™ i5-1135G7 Processor ,Intel® Core™ i5-1140G7 Processor ,Intel® Core™ i5-1145G7 Processor ,Intel® Core™ i7-1160G7 Processor ,Intel® Core™ i7-1165G7 Processor ,Intel® Core™ i7-1180G7 Processor ,Intel® Core™ i7-1185G7 Processor ,Intel® Core™ i3-1115G4 Processor ,Intel® Core™ i7-1165G7 Processor ,Intel® Core™ i5-1135G7 Processor ,Intel® Core™ i3-1125G4 Processor ,Intel® Core™ i3-1120G4 Processor ,Intel® Core™ i7-11700K Processor ,Intel® Core™ i7-11700KF Processor ,Intel® Core™ i7-11700T Processor ,Intel® Core™ i9-11900 Processor ,Intel® Core™ i9-11900F Processor ,Intel® Core™ i9-11900T Processor ,Intel® Core™ i5-11400 Processor ,Intel® Core™ i5-11400F Processor ,Intel® Core™ i5-11500T Processor ,Intel® Core™ i5-11400T Processor ,Intel® Core™ i5-11600 Processor ,Intel® Core™ i5-11600K Processor ,Intel® Core™ i5-11600KF Processor ,Intel® Core™ i5-11500 Processor ,Intel® Core™ i5-11600T Processor ,Intel® Core™ i7-11700 Processor ,Intel® Core™ i7-11700F Processor ,Intel® Core™ i9-11900KF Processor ,Intel® Core™ i9-11900K Processor ,Intel® Core™ i9-11950H Processor ,Intel® Core™ i7-11850H Processor ,Intel® Core™ i9-11980HK Processor ,Intel® Core™ i9-11900H Processor ,Intel® Core™ i7-11600H Processor ,Intel® Core™ i7-11800H Processor ,Intel® Core™ i5-11500H Processor ,Intel® Core™ i5-11400H Processor ,Intel® Core™ i5-11260H Processor ,Intel® Core™ i7-1195G7 Processor ,Intel® Core™ i7-11390H Processor ,Intel® Core™ i5-11320H Processor ,Intel® Core™ i5-1155G7 Processor ,Intel® Core™ i5-1155G7 Processor ,Intel® Core™ i7-1195G7 Processor ,Intel® Core™ i5-11500HE Processor ,Intel® Core™ i3-11100HE Processor ,Intel® Core™ i7-11850HE Processor 
Essentials
Product Collection,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i5 Processors,11th Generation Intel® Core™ i3 Processors,11th Generation Intel® Core™ i7 Processors
Vertical Segment,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded
Processor Number,i7-11370H,i5-11300H,i7-11375H,i3-1115GRE,i7-1185G7E,i5-1145GRE,i3-1115G4E,i5-1145G7E,i7-1185GRE,i3-1110G4,i3-1115G4,i3-1125G4,i5-1130G7,i5-1135G7,i5-1140G7,i5-1145G7,i7-1160G7,i7-1165G7,i7-1180G7,i7-1185G7,i3-1115G4,i7-1165G7,i5-1135G7,i3-1125G4,i3-1120G4,i7-11700K,i7-11700KF,i7-11700T,i9-11900,i9-11900F,i9-11900T,i5-11400,i5-11400F,i5-11500T,i5-11400T,i5-11600,i5-11600K,i5-11600KF,i5-11500,i5-11600T,i7-11700,i7-11700F,i9-11900KF,i9-11900K,i9-11950H,i7-11850H,i9-11980HK,i9-11900H,i7-11600H,i7-11800H,i5-11500H,i5-11400H,i5-11260H,i7-1195G7,i7-11390H,i5-11320H,i5-1155G7,i5-1155G7,i7-1195G7,i5-11500HE,i3-11100HE,i7-11850HE
Lithography,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin
Recommended Customer Price,$469.00,$340.00,,$338.00,$431.00,$362.00,$285.00,$312.00,$490.00,$309.00,$309.00,$309.00,$340.00,$340.00,$309.00,$309.00,,$469.00,$426.00,$426.00,$309.00,$469.00,$340.00,,$309.00,$439.00-$449.00,$411.00-$421.00,$355.00,$483.00-$493.00,$464.00-$474.00,$483.00,$200.00-$210.00,$173.00-$183.00,$211.00,$200.00,$234.00-$244.00,$288.00-$298.00,$261.00-$271.00,$211.00-$221.00,$234.00,$355.00-$365.00,$328.00-$338.00,$564.00-$574.00,$593.00-$603.00,,$395.00,,,$435.00,$435.00,$250.00,$275.00,$275.00,$469.00,,,$340.00,$340.00,$469.00,$256.00,$233.00,$400.00

CPU Specifications
Total Cores,4,4,4,2,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,6,8,6,6,6,4,4,4,4,4,4,6,4,8
Total Threads,8,8,8,4,8,8,4,8,8,4,4,8,8,8,8,8,8,8,8,8,4,8,8,8,8,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,12,16,12,12,12,8,8,8,8,8,8,12,8,16
