Intel® Product Specification Comparison
12/23/2024 01:45:32 PM
 ,Intel® Core™ i9-12900TE Processor ,Intel® Core™ i9-12900E Processor ,Intel® Core™ i9-12900H Processor ,Intel® Core™ i9-12900HK Processor ,Intel® Core™ i7-12700TE Processor ,Intel® Core™ i7-1270PE Processor ,Intel® Core™ i7-12700E Processor ,Intel® Core™ i5-1240P Processor ,Intel® Core™ i5-12450H Processor ,Intel® Core™ i3-12100F Processor ,Intel® Core™ i3-12100TE Processor ,Intel® Core™ i3-12100E Processor ,Intel® Core™ i3-12300HE Processor ,Intel® Core™ i7-12700H Processor ,Intel® Core™ i3-12100 Processor ,Intel® Core™ i5-12400 Processor ,Intel® Core™ i5-12400F Processor ,Intel® Core™ i5-12600K Processor ,Intel® Core™ i5-12600KF Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700K Processor ,Intel® Core™ i7-12700KF Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i9-12900 Processor ,Intel® Core™ i9-12900F Processor ,Intel® Core™ i9-12900K Processor ,Intel® Core™ i9-12900KF Processor ,Intel® Core™ i9-12900T Processor ,Intel® Core™ i3-12300HL Processor ,Intel® Core™ i5-12400T Processor ,Intel® Core™ i3-12300 Processor ,Intel® Core™ i3-12300T Processor ,Intel® Core™ i3-12100T Processor ,Intel® Core™ i9-12900KS Processor ,Intel® Core™ i7-12800HE Processor ,Intel® Core™ i7-12800HX Processor ,Intel® Core™ i7-12800H Processor ,Intel® Core™ i7-12650H Processor ,Intel® Core™ i7-1280P Processor ,Intel® Core™ i7-1260P Processor ,Intel® Core™ i7-1270P Processor ,Intel® Core™ i5-1250P Processor ,Intel® Core™ i3-1220P Processor ,Intel® Core™ i7-1265U Processor ,Intel® Core™ i7-1255U Processor ,Intel® Core™ i5-1245U Processor ,Intel® Core™ i5-1235U Processor ,Intel® Core™ i3-1215U Processor ,Intel® Core™ i5-1235U Processor ,Intel® Core™ i3-1215U Processor ,Intel® Core™ i3-1210U Processor ,Intel® Core™ i5-1240U Processor ,Intel® Core™ i5-1230U Processor ,Intel® Core™ i7-1250U Processor ,Intel® Core™ i7-1260U Processor ,Intel® Core™ i5-1250PE Processor ,Intel® Core™ i3-1215UE Processor ,Intel® Core™ i3-1220PE Processor ,Intel® Core™ i7-1265UE Processor ,Intel® Core™ i5-1245UE Processor ,Intel® Core™ i5-12600HX Processor ,Intel® Core™ i9-12950HX Processor ,Intel® Core™ i9-12900HX Processor ,Intel® Core™ i7-12850HX Processor ,Intel® Core™ i7-12700HL Processor ,Intel® Core™ i5-12450HX Processor ,Intel® Core™ i7-12650HX Processor ,Intel® Core™ i7-12800HL Processor ,Intel® Core™ i5-12600HL Processor ,Intel® Core™ i5-12500HL Processor ,Intel® Core™ i5-1245UL Processor ,Intel® Core™ i5-1235UL Processor ,Intel® Core™ i3-1215UL Processor ,Intel® Core™ i7-1255UL Processor ,Intel® Core™ i7-1265UL Processor ,Intel® Core™ i5-12500T Processor ,Intel® Core™ i5-12500H Processor ,Intel® Core™ i5-12500TE Processor ,Intel® Core™ i5-12500E Processor ,Intel® Core™ i5-12500 Processor ,Intel® Core™ i5-12600 Processor ,Intel® Core™ i5-12600T Processor ,Intel® Core™ i5-12600H Processor ,Intel® Core™ i5-12600HE Processor 
Essentials
Product Collection,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors
Vertical Segment,Embedded,Embedded,Mobile,Mobile,Embedded,Embedded,Embedded,Mobile,Mobile,Desktop,Embedded,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Mobile,Embedded,Embedded,Desktop,Desktop,Desktop,Mobile,Embedded
Processor Number,i9-12900TE,i9-12900E,i9-12900H,i9-12900HK,i7-12700TE,i7-1270PE,i7-12700E,i5-1240P,i5-12450H,i3-12100F,i3-12100TE,i3-12100E,i3-12300HE,i7-12700H,i3-12100,i5-12400,i5-12400F,i5-12600K,i5-12600KF,i7-12700,i7-12700F,i7-12700K,i7-12700KF,i7-12700T,i9-12900,i9-12900F,i9-12900K,i9-12900KF,i9-12900T,i3-12300HL,i5-12400T,i3-12300,i3-12300T,i3-12100T,i9-12900KS,i7-12800HE,i7-12800HX,i7-12800H,i7-12650H,i7-1280P,i7-1260P,i7-1270P,i5-1250P,i3-1220P,i7-1265U,i7-1255U,i5-1245U,i5-1235U,i3-1215U,i5-1235U,i3-1215U,i3-1210U,i5-1240U,i5-1230U,i7-1250U,i7-1260U,i5-1250PE,i3-1215UE,i3-1220PE,i7-1265UE,i5-1245UE,i5-12600HX,i9-12950HX,i9-12900HX,i7-12850HX,i7-12700HL,i5-12450HX,i7-12650HX,i7-12800HL,i5-12600HL,i5-12500HL,i5-1245UL,i5-1235UL,i3-1215UL,i7-1255UL,i7-1265UL,i5-12500T,i5-12500H,i5-12500TE,i5-12500E,i5-12500,i5-12600,i5-12600T,i5-12600H,i5-12600HE
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
Recommended Customer Price,$544.00,$544.00,$617.00,$697.00,$378.00,$441.00,$378.00,$353.00,$342.00,$107.00-$117.00,$138.00,$138.00,$306.00,$502.00,$134.00-$144.00,$211.00-$221.00,$184.00-$194.00,$318.00-$328.00,$290.00-$300.00,$373.00-$383.00,$345.00-$355.00,$450.00-$460.00,$422.00-$432.00,$373.00,$538.00-$568.00,$510.00-$540.00,$648.00-$658.00,$620.00-$630.00,$538.00,,$211.00,$157.00,$157.00,$134.00,$813.00-$823.00,$460.00,$502.00,$457.00,$502.00,$482.00,$480.00,$438.00,$320.00,$309.00,$426.00,$469.00,$309.00,$340.00,$309.00,$340.00,$309.00,,,$340.00,$469.00,,$323.00,$285.00,$295.00,$429.00,$312.00,$284.00,$590.00,$668.00,$428.00,$430.00,$312.00,$472.00,$457.00,$311.00,$279.00,,,,,,$222.00,$342.00,$225.00,$225.00,$222.00-$232.00,$245.00-$255.00,$245.00,$311.00,$315.00

CPU Specifications
Total Cores,16,16,14,14,12,12,12,12,8,4,4,4,8,14,4,6,6,10,10,12,12,12,12,12,16,16,16,16,16,8,6,4,4,4,16,14,16,14,10,14,12,12,12,10,10,10,10,10,6,10,6,6,10,10,10,10,12,6,8,10,10,12,16,16,16,14,8,14,14,12,12,10,10,6,10,10,6,12,6,6,6,6,6,12,12
# of Performance-cores,8,8,6,6,8,4,8,4,4,4,4,4,4,6,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,4,6,4,4,4,8,6,8,6,6,6,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,4,8,8,8,6,4,6,6,4,4,2,2,2,2,2,6,4,6,6,6,6,6,4,4
