Intel® Product Specification Comparison
12/23/2024 01:44:19 PM
 ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i5-13600K Processor ,Intel® Core™ i5-13600KF Processor ,Intel® Core™ i5-13400 Processor ,Intel® Core™ i9-13900K Processor ,Intel® Core™ i9-13900KF Processor ,Intel® Core™ i9-13900T Processor ,Intel® Core™ i9-13900 Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i5-13400F Processor ,Intel® Core™ i9-13900F Processor ,Intel® Core™ i5-13600T Processor ,Intel® Core™ i5-13600 Processor ,Intel® Core™ i3-13100 Processor ,Intel® Core™ i3-13100F Processor ,Intel® Core™ i5-13400T Processor ,Intel® Core™ i5-13500T Processor ,Intel® Core™ i3-13100T Processor ,Intel® Core™ i5-13500 Processor ,Intel® Core™ i9-13900E Processor ,Intel® Core™ i7-13650HX Processor ,Intel® Core™ i5-1350P Processor ,Intel® Core™ i3-13100TE Processor ,Intel® Core™ i5-13505H Processor ,Intel® Core™ i5-13500TE Processor ,Intel® Core™ i5-1340P Processor ,Intel® Core™ i5-1345U Processor ,Intel® Core™ i7-13700H Processor ,Intel® Core™ i7-13620H Processor ,Intel® Core™ i7-13700TE Processor ,Intel® Core™ i5-13450HX Processor ,Intel® Core™ i5-1350PE Processor ,Intel® Core™ i5-13500E Processor ,Intel® Core™ i9-13900H Processor ,Intel® Core™ i3-1315U Processor ,Intel® Core™ i9-13980HX Processor ,Intel® Core™ i7-13705H Processor ,Intel® Core™ i7-1365U Processor ,Intel® Core™ i5-1334U Processor ,Intel® Core™ i9-13900HK Processor ,Intel® Core™ i5-13600H Processor ,Intel® Core™ i7-1370P Processor ,Intel® Core™ i5-13500H Processor ,Intel® Core™ i5-13400E Processor ,Intel® Core™ i9-13950HX Processor ,Intel® Core™ i7-13800HE Processor ,Intel® Core™ i3-13300HE Processor ,Intel® Core™ i5-13600HE Processor ,Intel® Core™ i5-1335U Processor ,Intel® Core™ i5-13600HX Processor ,Intel® Core™ i7-1360P Processor ,Intel® Core™ i5-13500HX Processor ,Intel® Core™ i5-1340PE Processor ,Intel® Core™ i7-1355U Processor ,Intel® Core™ i7-13850HX Processor ,Intel® Core™ i9-13900TE Processor ,Intel® Core™ i3-13100E Processor ,Intel® Core™ i7-13800H Processor ,Intel® Core™ i7-13700HX Processor ,Intel® Core™ i9-13900KS Processor ,Intel® Core™ i7-13700E Processor ,Intel® Core™ i3-1320PE Processor ,Intel® Core™ i9-13900HX Processor ,Intel® Core™ i9-13905H Processor ,Intel® Core™ i5-13420H Processor ,Intel® Core™ i7-1370PE Processor ,Intel® Core™ i3-1305U Processor ,Intel® Core™ i5-1335UE Processor ,Intel® Core™ i7-1365UE Processor ,Intel® Core™ i3-1315UE Processor ,Intel® Core™ i5-1345UE Processor ,Intel® Core™ i5-13500H Processor ,Intel® Core™ i3-1315U Processor ,Intel® Core™ i7-1375PRE Processor ,Intel® Core™ i5-13600HRE Processor ,Intel® Core™ i3-1320PRE Processor ,Intel® Core™ i7-1370PRE Processor ,Intel® Core™ i3-13300HRE Processor ,Intel® Core™ i7-13800HRE Processor ,Intel® Core™ i5-1350PRE Processor ,Intel® Core™ i7-1366URE Processor ,Intel® Core™ i7-1365URE Processor ,Intel® Core™ i5-1345URE Processor ,Intel® Core™ i3-1315URE Processor 
Essentials
Product Collection,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors
Vertical Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Embedded,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Desktop,Embedded,Embedded,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
Processor Number,i7-13700KF,i7-13700,i7-13700F,i7-13700T,i5-13600K,i5-13600KF,i5-13400,i9-13900K,i9-13900KF,i9-13900T,i9-13900,i7-13700K,i5-13400F,i9-13900F,i5-13600T,i5-13600,i3-13100,i3-13100F,i5-13400T,i5-13500T,i3-13100T,i5-13500,i9-13900E,i7-13650HX,i5-1350P,i3-13100TE,i5-13505H,i5-13500TE,i5-1340P,i5-1345U,i7-13700H,i7-13620H,i7-13700TE,i5-13450HX,i5-1350PE,i5-13500E,i9-13900H,i3-1315U,i9-13980HX,i7-13705H,i7-1365U,i5-1334U,i9-13900HK,i5-13600H,i7-1370P,i5-13500H,i5-13400E,i9-13950HX,i7-13800HE,i3-13300HE,i5-13600HE,i5-1335U,i5-13600HX,i7-1360P,i5-13500HX,i5-1340PE,i7-1355U,i7-13850HX,i9-13900TE,i3-13100E,i7-13800H,i7-13700HX,i9-13900KS,i7-13700E,i3-1320PE,i9-13900HX,i9-13905H,i5-13420H,i7-1370PE,i3-1305U,i5-1335UE,i7-1365UE,i3-1315UE,i5-1345UE,i5-13500H,i3-1315U,i7-1375PRE,i5-13600HRE,i3-1320PRE,i7-1370PRE,i3-13300HRE,i7-13800HRE,i5-1350PRE,i7-1366URE,i7-1365URE,i5-1345URE,i3-1315URE
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
Recommended Customer Price,$384.00,$384.00-$394.00,$359.00-$369.00,$384.00,$319.00,$294.00,$221.00-$231.00,$589.00-$599.00,$564.00-$574.00,$549.00,$549.00-$579.00,$409.00-$419.00,$196.00-$206.00,$524.00-$554.00,$255.00,$255.00,$134.00-$144.00,$109.00-$119.00,$221.00,$232.00,$134.00,$232.00-$242.00,$554.00,$485.00,$320.00,$137.00,$342.00,$235.00,$353.00,$309.00,$502.00,$502.00,$390.00,$326.00,$315.00,$235.00,$617.00,$309.00,$668.00,$502.00,$426.00,$340.00,$697.00,$311.00,$438.00,$342.00,$224.00,$590.00,$460.00,$312.00,$317.00,$340.00,$284.00,$480.00,$326.00,$315.00,$469.00,$428.00,$554.00,$137.00,$457.00,$485.00,$689.00-$699.00,$390.00,$312.00,$668.00,$697.00,$342.00,$441.00,$309.00,$312.00,$429.00,$312.00,$312.00,$342.00,$309.00,$507.00,$347.00,$341.00,$477.00,$345.00,$496.00,$343.00,$493.00,$463.00,$340.00,$338.00

CPU Specifications
Total Cores,16,16,16,16,14,14,10,24,24,24,24,16,10,24,14,14,4,4,10,14,4,14,24,14,12,4,12,14,12,10,14,10,16,10,12,14,14,6,24,14,10,10,14,12,14,12,10,24,14,8,12,10,14,12,14,12,10,20,24,4,14,16,24,16,8,24,14,8,14,5,10,10,6,10,12,6,14,12,8,14,8,14,12,10,10,10,6
# of Performance-cores,8,8,8,8,6,6,6,8,8,8,8,8,6,8,6,6,4,4,6,6,4,6,8,6,4,4,4,6,4,2,6,6,8,6,4,6,6,2,8,6,2,2,6,4,6,4,6,8,6,4,4,2,6,4,6,4,2,8,8,4,6,8,8,8,4,8,6,4,6,1,2,2,2,2,4,2,6,4,4,6,4,6,4,2,2,2,2
