Intel® Product Specification Comparison
12/23/2024 01:43:18 PM
 ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Core™ i9 processor 14900KS ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E 
Essentials
Product Collection,Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i9 processors (14th gen),Intel® Core™ i7 processors (14th gen),Intel® Core™ i7 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i9 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i9 processors (14th gen)
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
Processor Number,i9-14900HX,i7-14650HX,i7-14700HX,i5-14450HX,i5-14500HX,i9-14900K,i3-14100,i3-14100T,i5-14400F,i5-14600KF,i5-14500T,i7-14700,i5-14600T,i7-14700K,i5-14500,i3-14100F,i9-14900KF,i5-14400,i7-14700KF,i5-14400T,i9-14900T,i9-14900,i7-14700T,i5-14600K,i5-14600,i9-14900F,i7-14700F,i9-14900KS,i7-14701TE,i7-14701E,i5-14401E,i9-14901TE,i5-14401TE,i5-14501TE,i5-14501E,i9-14901E
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
Recommended Customer Price,$679.00,$495.00,$495.00,$337.00,$337.00,$589.00-$599.00,$134.00-$144.00,$134.00,$196.00-$206.00,$294.00-$304.00,$232.00,$384.00-$394.00,$255.00,$409.00-$419.00,$232.00-$242.00,$109.00-$119.00,$564.00-$574.00,$221.00-$231.00,$384.00-$394.00,$221.00,$549.00,$549.00-$579.00,$384.00,$319.00-$329.00,$255.00,$524.00-$554.00,$359.00-$369.00,$689.00-$699.00,$392.00,$392.00,$228.00,$557.00,$228.00,$239.00,$239.00,$557.00

CPU Specifications
Total Cores,24,16,20,10,14,24,4,4,10,14,14,20,14,20,14,4,24,10,20,10,24,24,20,14,14,24,20,24,8,8,6,8,6,6,6,8
# of Performance-cores,8,8,8,6,6,8,4,4,6,6,6,8,6,8,6,4,8,6,8,6,8,8,8,6,6,8,8,8,8,8,6,8,6,6,6,8
# of Efficient-cores,16,8,12,4,8,16,0,0,4,8,8,12,8,12,8,0,16,4,12,4,16,16,12,8,8,16,12,16,0,0,0,0,0,0,0,0
Total Threads,32,24,28,16,20,32,8,8,16,20,20,28,20,28,20,8,32,16,28,16,32,32,28,20,20,32,28,32,16,16,12,16,12,12,12,16
Max Turbo Frequency,5.8 GHz,5.2 GHz,5.5 GHz,4.8 GHz,4.9 GHz,6 GHz,4.7 GHz,4.4 GHz,4.7 GHz,5.3 GHz,4.8 GHz,5.4 GHz,5.1 GHz,5.6 GHz,5 GHz,4.7 GHz,6 GHz,4.7 GHz,5.6 GHz,4.5 GHz,5.5 GHz,5.8 GHz,5.2 GHz,5.3 GHz,5.2 GHz,5.8 GHz,5.4 GHz,6.2 GHz,5.2 GHz,5.4 GHz,4.7 GHz,5.5 GHz,4.5 GHz,5.1 GHz,5.2 GHz,5.6 GHz
Intel® Thermal Velocity Boost Frequency,5.8 GHz,5.2 GHz,5.5 GHz,,,6 GHz,,,,,,,,,,,6 GHz,,,,,5.8 GHz,,,,5.8 GHz,,6.2 GHz,5.2 GHz,5.4 GHz,,5.5 GHz,,,,5.6 GHz
