Intel® Product Specification Comparison
12/23/2024 01:50:52 PM
 ,Intel® Core™ i7-8550U Processor ,Intel® Core™ i5-8250U Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i5-8350U Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i5-8600K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i5-8400 Processor ,Intel® Core™ i3-8100 Processor ,Intel® Core™ i3-8350K Processor ,Intel® Core™ i5-8600 Processor ,Intel® Core™ i5-8600T Processor ,Intel® Core™ i5-8500 Processor ,Intel® Core™ i5-8400T Processor ,Intel® Core™ i5-8500T Processor ,Intel® Core™ i3-8300 Processor ,Intel® Core™ i3-8300T Processor ,Intel® Core™ i3-8100T Processor ,Intel® Core™ i7-8700T Processor ,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i5-8305G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i5-8300H Processor ,Intel® Core™ i5-8400H Processor ,Intel® Core™ i5-8400B Processor ,Intel® Core™ i5-8500B Processor ,Intel® Core™ i7-8850H Processor ,Intel® Core™ i9-8950HK Processor ,Intel® Core™ i7-8700B Processor ,Intel® Core™ i7-8750H Processor ,Intel® Core™ i5-8259U Processor ,Intel® Core™ i3-8109U Processor ,Intel® Core™ i3-8130U Processor ,Intel® Core™ i7-8559U Processor ,Intel® Core™ i5-8269U Processor ,Intel® Core™ i7+8700 Processor (12M Cache, up to 4.60 GHz) includes Intel® Optane™ Memory ,Intel® Core™ i5+8500 Processor (9M Cache, up to 4.10 GHz) includes Intel® Optane™ Memory ,Intel® Core™ i5+8400 Processor (9M Cache, up to 4.00 GHz) includes Intel® Optane™ Memory ,Intel® Core™ i7-8086K Processor ,Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics ,Intel® Core™ i5-8305G Processor with Radeon™ Pro WX Vega M GL graphics ,Intel® Core™ i5-8265U Processor ,Intel® Core™ i3-8145U Processor ,Intel® Core™ i7-8565U Processor ,Intel® Core™ i3-8100H Processor ,Intel® Core™ i5-8200Y Processor ,Intel® Core™ i7-8500Y Processor ,Intel® Core™ m3-8100Y Processor ,Intel® Core™ i5-8210Y Processor ,Intel® Core™ i3-8100B Processor ,Intel® Core™ i7-8569U Processor ,Intel® Core™ i5-8257U Processor ,Intel® Core™ i5-8279U Processor ,Intel® Core™ i7-8557U Processor ,Intel® Core™ i7-8665UE Processor ,Intel® Core™ i5-8365U Processor ,Intel® Core™ i5-8365UE Processor ,Intel® Core™ i3-8145UE Processor ,Intel® Core™ i7-8665U Processor ,Intel® Core™ i5-8310Y Processor ,Intel® Core™ i5-8260U Processor ,Intel® Core™ i3-8140U Processor 
Essentials
Product Collection,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i9 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ m Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i5 Processors,8th Generation Intel® Core™ i3 Processors
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile
Processor Number,i7-8550U,i5-8250U,i7-8650U,i5-8350U,i7-8700K,i5-8600K,i7-8700,i5-8400,i3-8100,i3-8350K,i5-8600,i5-8600T,i5-8500,i5-8400T,i5-8500T,i3-8300,i3-8300T,i3-8100T,i7-8700T,i7-8706G,i7-8709G,i5-8305G,i7-8809G,i7-8705G,i5-8300H,i5-8400H,i5-8400B,i5-8500B,i7-8850H,i9-8950HK,i7-8700B,i7-8750H,i5-8259U,i3-8109U,i3-8130U,i7-8559U,i5-8269U,i7-8700,i5-8500,i5-8400,i7-8086K,i7-8706G,i5-8305G,i5-8265U,i3-8145U,i7-8565U,i3-8100H,i5-8200Y,i7-8500Y,m3-8100Y,i5-8210Y,i3-8100B,i7-8569U,i5-8257U,i5-8279U,i7-8557U,i7-8665UE,i5-8365U,i5-8365UE,i3-8145UE,i7-8665U,i5-8310Y,i5-8260U,i3-8140U
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Recommended Customer Price,,,$409.00,,$359.00,,$303.00,,$117.00,,$213.00,,$192.00,,$192.00,,,$117.00,$303.00,,,,,,$250.00,$250.00,,$192.00,$395.00,$583.00,$303.00,$395.00,,,,,$320.00,,,,,,,$297.00,,,$225.00,,,,,$133.00,$431.00,$320.00,$320.00,$431.00,$409.00,$297.00,$297.00,$281.00,$409.00,,,

CPU Specifications
Total Cores,4,4,4,4,6,6,6,6,4,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4,6,6,6,6,6,6,4,2,2,4,4,6,6,6,6,4,4,4,2,4,4,2,2,2,2,4,4,4,4,4,4,4,4,2,4,2,4,2
Total Threads,8,8,8,8,12,6,12,6,4,4,6,6,6,6,6,4,4,4,12,8,8,8,8,8,8,8,6,6,12,12,12,12,8,4,4,8,8,12,6,6,12,8,8,8,4,8,4,4,4,4,4,4,8,8,8,8,8,8,8,4,8,4,8,4
Max Turbo Frequency,4.00 GHz,3.40 GHz,4.20 GHz,3.60 GHz,4.70 GHz,4.30 GHz,4.60 GHz,4.00 GHz,,,4.30 GHz,3.70 GHz,4.10 GHz,3.30 GHz,3.50 GHz,,,,4.00 GHz,4.10 GHz,4.10 GHz,3.80 GHz,4.20 GHz,4.10 GHz,4.00 GHz,4.20 GHz,4.00 GHz,4.10 GHz,4.30 GHz,4.80 GHz,4.60 GHz,4.10 GHz,3.80 GHz,3.60 GHz,3.40 GHz,4.50 GHz,4.20 GHz,4.60 GHz,4.10 GHz,4.00 GHz,5.00 GHz,4.10 GHz,3.80 GHz,3.90 GHz,3.90 GHz,4.60 GHz,,3.90 GHz,4.20 GHz,3.40 GHz,3.60 GHz,,4.70 GHz,3.90 GHz,4.10 GHz,4.50 GHz,4.40 GHz,4.10 GHz,4.10 GHz,3.90 GHz,4.80 GHz,3.90 GHz,3.90 GHz,3.90 GHz
