Intel® Product Specification Comparison
12/23/2024 01:49:59 PM
 ,Intel® Core™ i3-9100 Processor ,Intel® Core™ i3-9100T Processor ,Intel® Core™ i3-9300T Processor ,Intel® Core™ i3-9300 Processor ,Intel® Core™ i5-9400T Processor ,Intel® Core™ i5-9500 Processor ,Intel® Core™ i5-9600K Processor ,Intel® Core™ i5-9400 Processor ,Intel® Core™ i5-9600 Processor ,Intel® Core™ i7-9700K Processor ,Intel® Core™ i9-9900K Processor ,Intel® Core™ i3-9350K Processor ,Intel® Core™ i5-9400F Processor ,Intel® Core™ i5-9600KF Processor ,Intel® Core™ i7-9700KF Processor ,Intel® Core™ i3-9100F Processor ,Intel® Core™ i9-9900KF Processor ,Intel® Core™ i5-9500F Processor ,Intel® Core™ i9-9900T Processor ,Intel® Core™ i7-9750H Processor ,Intel® Core™ i7-9750HF Processor ,Intel® Core™ i7-9850H Processor ,Intel® Core™ i7-9700T Processor ,Intel® Core™ i5-9600T Processor ,Intel® Core™ i5-9500T Processor ,Intel® Core™ i5-9300H Processor ,Intel® Core™ i5-9400H Processor ,Intel® Core™ i5-9300HF Processor ,Intel® Core™ i3-9350KF Processor ,Intel® Core™ i9-9900 Processor ,Intel® Core™ i7-9700 Processor ,Intel® Core™ i3-9320 Processor ,Intel® Core™ i9-9900KS Processor ,Intel® Core™ i9-9880H Processor ,Intel® Core™ i9-9980HK Processor ,Intel® Core™ i7-9700F Processor ,Intel® Core™ i3-9100E Processor ,Intel® Core™ i3-9100HL Processor ,Intel® Core™ i3-9100TE Processor ,Intel® Core™ i7-9700E Processor ,Intel® Core™ i5-9500E Processor ,Intel® Core™ i5-9500TE Processor ,Intel® Core™ i7-9850HE Processor ,Intel® Core™ i7-9700TE Processor ,Intel® Core™ i7-9850HL Processor 
Essentials
Product Collection,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i3 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i5 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors
Vertical Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
Processor Number,i3-9100,i3-9100T,i3-9300T,i3-9300,i5-9400T,i5-9500,i5-9600K,i5-9400,i5-9600,i7-9700K,i9-9900K,i3-9350K,i5-9400F,i5-9600KF,i7-9700KF,i3-9100F,i9-9900KF,i5-9500F,i9-9900T,i7-9750H,i7-9750HF,i7-9850H,i7-9700T,i5-9600T,i5-9500T,i5-9300H,i5-9400H,i5-9300HF,i3-9350KF,i9-9900,i7-9700,i3-9320,i9-9900KS,i9-9880H,i9-9980HK,i7-9700F,i3-9100E,i3-9100HL,i3-9100TE,i7-9700E,i5-9500E,i5-9500TE,i7-9850HE,i7-9700TE,i7-9850HL
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,4,4,4,4,6,6,6,6,6,8,8,4,6,6,8,4,8,6,8,6,6,6,8,6,6,4,4,4,4,8,8,4,8,8,8,8,4,4,4,8,6,6,6,8,6
Total Threads,4,4,4,4,6,6,6,6,6,8,16,4,6,6,8,4,16,6,16,12,12,12,8,6,6,8,8,8,4,16,8,4,16,16,16,8,4,4,4,8,6,6,12,8,12
