Intel® Product Specification Comparison
12/23/2024 01:45:55 PM
 ,Intel® Core™ i3-N305 Processor ,Intel® Core™ i3-N300 Processor 
Essentials
Product Collection,Intel® Core™ Processor N-series,Intel® Core™ Processor N-series
Vertical Segment,Mobile,Mobile
Processor Number,i3-N305,i3-N300
Lithography,Intel 7,Intel 7

CPU Specifications
Total Cores,8,8
Total Threads,8,8
Max Turbo Frequency,3.80 GHz,3.80 GHz
Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache
TDP,15 W,7 W
Configurable TDP-down,9 W,

Supplemental Information
Marketing Status,Launched,Launched
Launch Date,Q1'23,Q1'23
Embedded Options Available,Yes,No

Memory Specifications
Max Memory Size (dependent on memory type),16 GB,16 GB
Memory Types,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s
Maximum Memory Speed,4800 MHz,4800 MHz
Max # of Memory Channels,1,1
ECC Memory Supported   ‡,No,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics,Intel® UHD Graphics
Graphics Max Dynamic Frequency,1.25 GHz,1.25 GHz
Graphics Output,eDP 1.4b |  DP 1.4 |  HDMI 2.1 |  MIPI-DSI 1.3,eDP 1.4b |  DP 1.4 |  HDMI 2.1 |  MIPI-DSI 1.3
Execution Units,32,32
4K Support,Yes |  at 60Hz,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096 x 2160@60Hz,4096 x 2160@60Hz
Max Resolution (DP)‡,4096 x 2160@60Hz,4096 x 2160@60Hz
DirectX* Support,12.1,12.1
OpenGL* Support,4.6,4.6
OpenCL* Support,3.0,3.0
Intel® Quick Sync Video,Yes,Yes
# of Displays Supported ‡,3,3
Device ID,0x46D0,0x46D0

Expansion Options
Chipset / PCH PCIe Revision,Gen 3,Gen 3
Max # of PCI Express Lanes,9,9

I/O Specifications
USB Revision,2.0/3.2,2.0/3.2
General Purpose IO,Yes,Yes

Package Specifications
Sockets Supported,FCBGA1264,FCBGA1264
Max CPU Configuration,1,1
TJUNCTION,105°C,105°C
Max Operating Temperature,105 °C,105 °C
Package Size,35mm x 24mm,35mm x 24mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0,3.0
Intel® Image Processing Unit,6.0,6.0
Intel® Smart Sound Technology,Yes,Yes
Intel® Wake on Voice,Yes,Yes
Intel® High Definition Audio,Yes,Yes
MIPI SoundWire*,1.2,1.2
Intel® Speed Shift Technology,Yes,Yes
Intel® Hyper-Threading Technology ‡,No,No
Instruction Set,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Enhanced Intel SpeedStep® Technology,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes

Security & Reliability
Intel® Control-Flow Enforcement Technology,Yes,Yes
Intel® AES New Instructions,Yes,Yes
Intel® OS Guard,Yes,Yes
Intel® Boot Guard,Yes,Yes
Mode-based Execute Control (MBEC),Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes
