Intel® Product Specification Comparison
12/23/2024 01:41:00 PM
 ,Intel® Core™ Ultra 7 Processor 155H ,Intel® Core™ Ultra 5 Processor 125H ,Intel® Core™ Ultra 9 Processor 185H ,Intel® Core™ Ultra 5 Processor 135H ,Intel® Core™ Ultra 7 Processor 165H ,Intel® Core™ Ultra 7 Processor 155U ,Intel® Core™ Ultra 5 Processor 135U ,Intel® Core™ Ultra 7 Processor 165U ,Intel® Core™ Ultra 5 Processor 125U ,Intel® Core™ Ultra 5 Processor 134U ,Intel® Core™ Ultra 7 Processor 164U ,Intel® Core™ Ultra 3 Processor 105UL ,Intel® Core™ Ultra 5 Processor 125HL ,Intel® Core™ Ultra 5 Processor 125UL ,Intel® Core™ Ultra 5 Processor 135HL ,Intel® Core™ Ultra 5 Processor 135UL ,Intel® Core™ Ultra 7 Processor 155HL ,Intel® Core™ Ultra 7 Processor 155UL ,Intel® Core™ Ultra 7 Processor 165HL ,Intel® Core™ Ultra 7 Processor 165UL 
Essentials
Product Collection,Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1)
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
Processor Number,155H,125H,185H,135H,165H,155U,135U,165U,125U,134U,164U,105UL,125HL,125UL,135HL,135UL,155HL,155UL,165HL,165UL
Lithography,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4
Recommended Customer Price,$503.00,$375.00,$640.00,$342.00,$460.00,$490.00,$332.00,$448.00,$363.00,$332.00,$448.00,$295.00,$325.00,$309.00,$341.00,$331.00,$438.00,$426.00,$459.00,$447.00

CPU Specifications
Total Cores,16,14,16,14,16,12,12,12,12,12,12,8,14,12,14,12,16,12,16,12
# of Performance-cores,6,4,6,4,6,2,2,2,2,2,2,2,4,2,4,2,6,2,6,2
# of Efficient-cores,8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,8
# of Low Power Efficient-cores,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Total Threads,22,18,22,18,22,14,14,14,14,14,14,10,18,14,18,14,22,14,22,14
Max Turbo Frequency,4.8 GHz,4.5 GHz,5.1 GHz,4.6 GHz,5 GHz,4.8 GHz,4.4 GHz,4.9 GHz,4.3 GHz,4.4 GHz,4.8 GHz,4.2 GHz,4.5 GHz,4.3 GHz,4.6 GHz,4.4 GHz,4.8 GHz,4.8 GHz,5 GHz,4.9 GHz
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,4.8 GHz,,5.1 GHz,,5 GHz,,,,,,,,,,,,4.8 GHz,,5 GHz,
Performance-core Max Turbo Frequency,4.8 GHz,4.5 GHz,5.1 GHz,4.6 GHz,5 GHz,4.8 GHz,4.4 GHz,4.9 GHz,4.3 GHz,4.4 GHz,4.8 GHz,4.2 GHz,4.5 GHz,4.3 GHz,4.6 GHz,4.4 GHz,4.8 GHz,4.8 GHz,5 GHz,4.9 GHz
Efficient-core Max Turbo Frequency,3.8 GHz,3.6 GHz,3.8 GHz,3.6 GHz,3.8 GHz,3.8 GHz,3.6 GHz,3.8 GHz,3.6 GHz,3.6 GHz,3.8 GHz,3.5 GHz,3.6 GHz,3.6 GHz,3.6 GHz,3.6 GHz,3.8 GHz,3.8 GHz,3.8 GHz,3.8 GHz
Low Power Efficient-core Max Turbo Frequency,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz,2.5 GHz,2.1 GHz
Performance-core Base Frequency,1.4 GHz,1.2 GHz,2.3 GHz,1.7 GHz,1.4 GHz,1.7 GHz,1.6 GHz,1.7 GHz,1.3 GHz,700 MHz,1.1 GHz,1.5 GHz,1.2 GHz,1.3 GHz,1.7 GHz,1.6 GHz,1.4 GHz,1.7 GHz,1.4 GHz,1.7 GHz
Efficient-core Base Frequency,900 MHz,700 MHz,1.8 GHz,1.2 GHz,900 MHz,1.2 GHz,1.1 GHz,1.2 GHz,800 MHz,500 MHz,700 MHz,1 GHz,700 MHz,800 MHz,1.2 GHz,1.1 GHz,900 MHz,1.2 GHz,900 MHz,1.2 GHz
Low Power Efficient-core Base Frequency,700 MHz,700 MHz,1 GHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,400 MHz,400 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz,700 MHz
Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB,18 MB,12 MB,18 MB,12 MB,24 MB,12 MB,24 MB,12 MB
Processor Base Power,28 W,28 W,45 W,28 W,28 W,15 W,15 W,15 W,15 W,9 W,9 W,15 W,45 W,15 W,45 W,15 W,45 W,15 W,45 W,15 W
Maximum Turbo Power,115 W,115 W,115 W,115 W,115 W,57 W,57 W,57 W,57 W,30 W,30 W,57 W,115 W,57 W,115 W,57 W,115 W,57 W,115 W,57 W
Minimum Assured Power,20 W,20 W,35 W,20 W,20 W,12 W,12 W,12 W,12 W,,,12 W,20 W,12 W,20 W,12 W,20 W,12 W,20 W,12 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AI Software Frameworks Supported by CPU,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT
Maximum Assured Power,,,,,,,,,,,,28 W,65 W,28 W,65 W,28 W,65 W,28 W,65 W,28 W
AI Datatype Support on CPU,,,,,,,,,,,,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
