Intel® Product Specification Comparison
12/23/2024 01:41:41 PM
 ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K 
Essentials
Product Collection,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2)
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop
Processor Number,238V,256V,228V,266V,258V,268V,236V,226V,288V,285K,265KF,265K,245KF,245K
Overall Peak TOPS (Int8),97,115,97,118,115,118,97,97,120,36,25,33,22,30

CPU Specifications
Total Cores,8,8,8,8,8,8,8,8,8,24,20,20,14,14
# of Performance-cores,4,4,4,4,4,4,4,4,4,8,8,8,6,6
# of Low Power Efficient-cores,4,4,4,4,4,4,4,4,4,,,,,
Total Threads,8,8,8,8,8,8,8,8,8,24,20,20,14,14
Max Turbo Frequency,4.7 GHz,4.8 GHz,4.5 GHz,5 GHz,4.8 GHz,5 GHz,4.7 GHz,4.5 GHz,5.1 GHz,5.7 GHz,5.5 GHz,5.5 GHz,5.2 GHz,5.2 GHz
Performance-core Max Turbo Frequency,4.7 GHz,4.8 GHz,4.5 GHz,5 GHz,4.8 GHz,5 GHz,4.7 GHz,4.5 GHz,5.1 GHz,5.5 GHz,5.4 GHz,5.4 GHz,5.2 GHz,5.2 GHz
Low Power Efficient-core Max Turbo Frequency,3.5 GHz,3.7 GHz,3.5 GHz,3.7 GHz,3.7 GHz,3.7 GHz,3.5 GHz,3.5 GHz,3.7 GHz,,,,,
Performance-core Base Frequency,2.1 GHz,2.2 GHz,2.1 GHz,2.2 GHz,2.2 GHz,2.2 GHz,2.1 GHz,2.1 GHz,3.3 GHz,3.7 GHz,3.9 GHz,3.9 GHz,4.2 GHz,4.2 GHz
Low Power Efficient-core Base Frequency,2.1 GHz,2.2 GHz,2.1 GHz,2.2 GHz,2.2 GHz,2.2 GHz,2.1 GHz,2.1 GHz,3.3 GHz,,,,,
Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache
Processor Base Power,17 W,17 W,17 W,17 W,17 W,17 W,17 W,17 W,30 W,125 W,125 W,125 W,125 W,125 W
Maximum Turbo Power,37 W,37 W,37 W,37 W,37 W,37 W,37 W,37 W,37 W,250 W,250 W,250 W,159 W,159 W
Minimum Assured Power,8 W,8 W,8 W,8 W,8 W,8 W,8 W,8 W,17 W,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AI Software Frameworks Supported by CPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN
CPU Lithography,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,4.8 GHz,,5 GHz,4.8 GHz,5 GHz,,,5.1 GHz,5.6 GHz,5.5 GHz,5.5 GHz,,
# of Efficiency-cores,,,,,,,,,,16,12,12,8,8
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,5.7 GHz,,,,
Single E-core Turbo Frequency,,,,,,,,,,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz
E-core Base Frequency,,,,,,,,,,3.2 GHz,3.3 GHz,3.3 GHz,3.6 GHz,3.6 GHz
Total L2 Cache,,,,,,,,,,40 MB,36 MB,36 MB,26 MB,26 MB

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q4'24,Q4'24,Q4'24,Q4'24,Q4'24
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Use Conditions,,,,,,,,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation

Memory Specifications
Max Memory Size (dependent on memory type),32 GB,16 GB,32 GB,16 GB,32 GB,32 GB,16 GB,16 GB,32 GB,192 GB,192 GB,192 GB,192 GB,192 GB
Memory Types,LPDDR5X up to 8533 MT/s,LPDDR5X up to 8533 MT/s,LPDDR5X up to 8533 MT/s,LPDDR5X up to 8533 MT/s,LPDDR5X up to 8533 MT/s,LPDDR5X up to 8533 MT/s,LPDDR5X up to 8533 MT/s,LPDDR5X up to 8533 MT/s,LPDDR5X up to 8533 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Maximum Memory Speed,,,,,,,,,,6400 MHz,6400 MHz,6400 MHz,6400 MHz,6400 MHz
ECC Memory Supported ‡,,,,,,,,,,Yes,,Yes,,Yes

GPU Specifications
GPU Name‡,Intel® Arc™ Graphics 130V,Intel® Arc™ Graphics 140V,Intel® Arc™ Graphics 130V,Intel® Arc™ Graphics 140V,Intel® Arc™ Graphics 140V,Intel® Arc™ Graphics 140V,Intel® Arc™ Graphics 130V,Intel® Arc™ Graphics 130V,Intel® Arc™ Graphics 140V,Intel® Graphics,,Intel® Graphics,,Intel® Graphics
Graphics Max Dynamic Frequency,1.85 GHz,1.95 GHz,1.85 GHz,2 GHz,1.95 GHz,2 GHz,1.85 GHz,1.85 GHz,2.05 GHz,2 GHz,,2 GHz,,1.9 GHz
GPU Peak TOPS (Int8),53,64,53,66,64,66,53,53,67,8,,8,,8
Graphics Output,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 | HDMI2.1 FRL 12GHz,DP2.1 UHBR20 |  HDM2.1 FRL 12GHz |  eDP1.4b,,DP2.1 UHBR20 |  HDM2.1 FRL 12GHz |  eDP1.4b,,DP2.1 UHBR20 |  HDM2.1 FRL 12GHz |  eDP1.4b
Xe-cores,7,8,7,8,8,8,7,7,8,4,,4,,4
Ray Tracing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
Max Resolution (HDMI)‡,4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS) 7680 x 4320 @ 60Hz (HDMI2.1 FRL),4K @ 60Hz (HDMI 2.1 TMDS) 8K @ 60Hz (HDMI2.1 FRL),,4K @ 60Hz (HDMI 2.1 TMDS) 8K @ 60Hz (HDMI2.1 FRL),,4K @ 60Hz (HDMI 2.1 TMDS) 8K @ 60Hz (HDMI2.1 FRL)
Max Resolution (DP)‡,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,8K @ 60Hz,,8K @ 60Hz,,8K @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,3840x2400 @ 120Hz,3840x2400 @ 120Hz,3840x2400 @ 120Hz,3840x2400 @ 120Hz,3840x2400 @ 120Hz,3840x2400 @ 120Hz,3840x2400 @ 120Hz,3840x2400 @ 120Hz,3840x2400 @ 120Hz,4K @ 60Hz,,4K @ 60Hz,,4K @ 60Hz
DirectX* Support,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12,,12,,12
OpenGL* Support,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,,4.5,,4.5
OpenCL* Support,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,,3,,3
Multi-Format Codec Engines,1,1,1,1,1,1,1,1,1,,,,,
