Intel® Product Specification Comparison
12/23/2024 01:48:33 PM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i5-7640X X-series Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i9-7900X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i9-7920X X-series Processor ,Intel® Core™ i9-7940X X-series Processor ,Intel® Core™ i9-7960X X-series Processor ,Intel® Core™ i9-7980XE Extreme Edition Processor ,Intel® Core™ i9-9820X X-series Processor ,Intel® Core™ i7-9800X X-series Processor ,Intel® Core™ i9-9960X X-series Processor ,Intel® Core™ i9-9900X X-series Processor ,Intel® Core™ i9-9940X X-series Processor ,Intel® Core™ i9-9980XE Extreme Edition Processor ,Intel® Core™ i9-9920X X-series Processor ,Intel® Core™ i9-10920X X-series Processor ,Intel® Core™ i9-10940X X-series Processor ,Intel® Core™ i9-10980XE Extreme Edition Processor ,Intel® Core™ i9-10900X X-series Processor ,Intel® Core™ i7-3960X Processor Extreme Edition ,Intel® Core™ i7-3930K Processor ,Intel® Core™ i7-3820 Processor ,Intel® Core™ i7-3920XM Processor Extreme Edition ,Intel® Core™ i7-3970X Processor Extreme Edition ,Intel® Core™ i7-3940XM Processor Extreme Edition ,Intel® Core™ i7-4930MX Processor Extreme Edition ,Intel® Core™ i7-4960X Processor Extreme Edition ,Intel® Core™ i7-4930K Processor ,Intel® Core™ i7-4820K Processor ,Intel® Core™ i7-4940MX Processor Extreme Edition ,Intel® Core™ i7-5960X Processor Extreme Edition ,Intel® Core™ i7-5930K Processor ,Intel® Core™ i7-5820K Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition 
Essentials
Product Collection,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors
Vertical Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop
Processor Number,i7-7740X,i5-7640X,i7-7800X,i9-7900X,i7-7820X,i9-7920X,i9-7940X,i9-7960X,i9-7980XE,i9-9820X,i7-9800X,i9-9960X,i9-9900X,i9-9940X,i9-9980XE,i9-9920X,i9-10920X,i9-10940X,i9-10980XE,i9-10900X,i7-3960X,i7-3930K,i7-3820,i7-3920XM,i7-3970X,i7-3940XM,i7-4930MX,i7-4960X,i7-4930K,i7-4820K,i7-4940MX,i7-5960X,i7-5930K,i7-5820K,i7-6850K,i7-6800K,i7-6900K,i7-6950X
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,,,,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,32 nm,32 nm,32 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm
Recommended Customer Price,,,$383.00,,,,,,,$889.00,$589.00,$1684.00,$989.00,$1387.00,$1979.00,$1189.00,$759.00-$769.00,$863.00-$873.00,$1076.00-$1086.00,$648.00-$658.00,,,,,,,,,$594.00,,,,,,$617.00,$434.00,$1089.00,$1723.00

CPU Specifications
Total Cores,4,4,6,10,8,12,14,16,18,10,8,16,10,14,18,12,12,14,18,10,6,6,4,4,6,4,4,6,6,4,4,8,6,6,6,6,8,10
Total Threads,8,,12,20,16,24,28,32,36,20,16,32,20,28,36,24,24,28,36,20,12,12,8,8,12,8,8,12,12,8,8,16,12,12,12,12,16,20
